Begrotingsjaar;Uitgaven Ontvangsten Verplichtingen;Begrotingsnummer;Naam Begroting ;Artikel nummer;Artikel;Stand ontwerpbegroting;Stand vastgestelde begroting;Stand eerste suppletoire;Stand tweede suppletoire;Realisatie
2019;U;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;8;Kabinet van de Gouverneur van Sint Maarten;2024;0;0;0;0
2019;V;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;8;Kabinet van de Gouverneur van Sint Maarten;2024;0;0;0;0
2019;U;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;9;Kiesraad;2345;0;0;0;0
2019;V;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;9;Kiesraad;2345;0;0;0;0
2019;O;III;Algemene Zaken;1;Bevorderen eenheid regeringsbeleid;4439;0;0;0;0
2019;U;III;Algemene Zaken;1;Bevorderen eenheid regeringsbeleid;62303;0;0;0;0
2019;V;III;Algemene Zaken;1;Bevorderen eenheid regeringsbeleid;62303;0;0;0;0
2019;O;III;Algemene Zaken;4;Kabinet van de Koning;2492;0;0;0;0
2019;U;III;Algemene Zaken;4;Kabinet van de Koning;2492;0;0;0;0
2019;V;III;Algemene Zaken;4;Kabinet van de Koning;2492;0;0;0;0
2019;U;III;Algemene Zaken;5;Cie voor toezicht op de Inlichtingen- en veiligheidsdiensten;2551;0;0;0;0
2019;V;III;Algemene Zaken;5;Cie voor toezicht op de Inlichtingen- en veiligheidsdiensten;2551;0;0;0;0
2019;U;IV;Koninkrijksrelaties;1;Versterken rechtsstaat;40434;0;0;0;0
2019;V;IV;Koninkrijksrelaties;1;Versterken rechtsstaat;40434;0;0;0;0
2019;U;IV;Koninkrijksrelaties;4;Bevorderen sociaal-economische structuur;11198;0;0;0;0
2019;V;IV;Koninkrijksrelaties;4;Bevorderen sociaal-economische structuur;11198;0;0;0;0
2019;O;IV;Koninkrijksrelaties;5;Schuldsanering/lopende inschrijving/leningen;38292;0;0;0;0
2019;U;IV;Koninkrijksrelaties;5;Schuldsanering/lopende inschrijving/leningen;28517;0;0;0;0
2019;U;IV;Koninkrijksrelaties;6;Apparaat;21428;0;0;0;0
2019;V;IV;Koninkrijksrelaties;6;Apparaat;21428;0;0;0;0
2019;U;IV;Koninkrijksrelaties;7;Nog onverdeeld;1142;0;0;0;0
2019;V;IV;Koninkrijksrelaties;7;Nog onverdeeld;1142;0;0;0;0
2019;U;IV;Koninkrijksrelaties;8;Wederopbouw bovenwindse eilanden;6037;0;0;0;0
2019;V;IV;Koninkrijksrelaties;8;Wederopbouw bovenwindse eilanden;6037;0;0;0;0
2019;O;IXA;Nationale Schuld (Transactiebasis);1;Financiering staatsschuld;24178000;0;0;0;0
2019;U;IXA;Nationale Schuld (Transactiebasis);1;Financiering staatsschuld;35655308;0;0;0;0
2019;V;IXA;Nationale Schuld (Transactiebasis);1;Financiering staatsschuld;35655308;0;0;0;0
2019;O;IXA;Nationale Schuld (Transactiebasis);2;Kasbeheer;9493966;0;0;0;0
2019;U;IXA;Nationale Schuld (Transactiebasis);2;Kasbeheer;1531675;0;0;0;0
2019;V;IXA;Nationale Schuld (Transactiebasis);2;Kasbeheer;1531675;0;0;0;0
2019;O;IXB;Financiën;1;Belastingen;852334;0;0;0;0
2019;U;IXB;Financiën;1;Belastingen;2776428;0;0;0;0
2019;V;IXB;Financiën;1;Belastingen;2716883;0;0;0;0
2019;O;IXB;Financiën;2;Financiele Markten;7441;0;0;0;0
2019;U;IXB;Financiën;2;Financiele Markten;25023;0;0;0;0
2019;V;IXB;Financiën;2;Financiele Markten;25023;0;0;0;0
2019;O;IXB;Financiën;3;Financ. act. Publiek-Private sector;1204300;0;0;0;0
2019;U;IXB;Financiën;3;Financ. act. Publiek-Private sector;294050;0;0;0;0
2019;V;IXB;Financiën;3;Financ. act. Publiek-Private sector;15708;0;0;0;0
2019;O;IXB;Financiën;4;Internationale Fin. Betrekkingen;15257;0;0;0;0
2019;U;IXB;Financiën;4;Internationale Fin. Betrekkingen;359220;0;0;0;0
2019;V;IXB;Financiën;4;Internationale Fin. Betrekkingen;2274076;0;0;0;0
2019;O;IXB;Financiën;5;Exportkrediet- en investeringsverzekering;256172;0;0;0;0
2019;U;IXB;Financiën;5;Exportkrediet- en investeringsverzekering;83444;0;0;0;0
2019;V;IXB;Financiën;5;Exportkrediet- en investeringsverzekering;10015244;0;0;0;0
2019;U;IXB;Financiën;6;BTW-Compensatiefonds;3225010;0;0;0;0
2019;V;IXB;Financiën;6;BTW-Compensatiefonds;3225010;0;0;0;0
2019;O;IXB;Financiën;9;Douane;605;0;0;0;0
2019;U;IXB;Financiën;9;Douane;416151;0;0;0;0
2019;V;IXB;Financiën;9;Douane;416151;0;0;0;0
2019;U;IXB;Financiën;10;Nominaal en onvoorzien;98411;0;0;0;0
2019;V;IXB;Financiën;10;Nominaal en onvoorzien;77956;0;0;0;0
2019;O;IXB;Financiën;21;Centraal Apparaat;52953;0;0;0;0
2019;U;IXB;Financiën;21;Centraal Apparaat;256491;0;0;0;0
2019;V;IXB;Financiën;21;Centraal Apparaat;256491;0;0;0;0
2019;O;J;Deltafonds;1;Investeren in waterveiligheid;165848;0;0;0;0
2019;U;J;Deltafonds;1;Investeren in waterveiligheid;407172;0;0;0;0
2019;V;J;Deltafonds;1;Investeren in waterveiligheid;287975;0;0;0;0
2019;O;J;Deltafonds;2;Investeren in zoetwatervoorziening;3000;0;0;0;0
2019;U;J;Deltafonds;2;Investeren in zoetwatervoorziening;25244;0;0;0;0
2019;V;J;Deltafonds;2;Investeren in zoetwatervoorziening;24655;0;0;0;0
2019;U;J;Deltafonds;3;Beheer, Onderhoud en vervanging;180288;0;0;0;0
2019;V;J;Deltafonds;3;Beheer, Onderhoud en vervanging;148802;0;0;0;0
2019;U;J;Deltafonds;4;Experimenteren cf. art.111 Deltawet;32467;0;0;0;0
2019;V;J;Deltafonds;4;Experimenteren cf. art.111 Deltawet;11548;0;0;0;0
2019;U;J;Deltafonds;5;Netwerkgebonden kosten en overige uitgaven;313272;0;0;0;0
2019;V;J;Deltafonds;5;Netwerkgebonden kosten en overige uitgaven;312072;0;0;0;0
2019;O;J;Deltafonds;6;Bijdrage ten laste van begroting Hoofdstuk XII;874038;0;0;0;0
2019;U;J;Deltafonds;7;Investeren in Waterkwaliteit;84443;0;0;0;0
2019;V;J;Deltafonds;7;Investeren in Waterkwaliteit;112564;0;0;0;0
2019;U;V;Buitenlandse Zaken;41;Internationale rechtsorde en eerbiediging mensenrechten;123487;0;0;0;0
2019;V;V;Buitenlandse Zaken;41;Internationale rechtsorde en eerbiediging mensenrechten;105487;0;0;0;0
2019;O;V;Buitenlandse Zaken;42;Veiligheid en stabiliteit;1242;0;0;0;0
2019;U;V;Buitenlandse Zaken;42;Veiligheid en stabiliteit;291000;0;0;0;0
2019;V;V;Buitenlandse Zaken;42;Veiligheid en stabiliteit;275449;0;0;0;0
2019;O;V;Buitenlandse Zaken;43;Europese Samenwerking;383929;0;0;0;0
2019;U;V;Buitenlandse Zaken;43;Europese Samenwerking;8745255;0;0;0;0
2019;V;V;Buitenlandse Zaken;43;Europese Samenwerking;8520360;0;0;0;0
2019;O;V;Buitenlandse Zaken;44;Consulaire belangenbehartiging;47890;0;0;0;0
2019;U;V;Buitenlandse Zaken;44;Consulaire belangenbehartiging;50306;0;0;0;0
2019;V;V;Buitenlandse Zaken;44;Consulaire belangenbehartiging;51762;0;0;0;0
2019;U;V;Buitenlandse Zaken;46;Nominaal en onvoorzien;25868;0;0;0;0
2019;V;V;Buitenlandse Zaken;46;Nominaal en onvoorzien;25868;0;0;0;0
2019;O;V;Buitenlandse Zaken;47;Apparaat;26450;0;0;0;0
2019;U;V;Buitenlandse Zaken;47;Apparaat;740740;0;0;0;0
2019;V;V;Buitenlandse Zaken;47;Apparaat;763776;0;0;0;0
2019;O;VI;Justitie en Veiligheid;31;Politie;500;0;0;0;0
2019;U;VI;Justitie en Veiligheid;31;Politie;6041402;0;0;0;0
2019;V;VI;Justitie en Veiligheid;31;Politie;6032749;0;0;0;0
2019;O;VI;Justitie en Veiligheid;32;Rechtspleging en rechtsbijstand;181992;0;0;0;0
2019;U;VI;Justitie en Veiligheid;32;Rechtspleging en rechtsbijstand;1497644;0;0;0;0
2019;V;VI;Justitie en Veiligheid;32;Rechtspleging en rechtsbijstand;1497644;0;0;0;0
2019;O;VI;Justitie en Veiligheid;33;Veiligheid en criminaliteitsbestrijding;1200408;0;0;0;0
2019;U;VI;Justitie en Veiligheid;33;Veiligheid en criminaliteitsbestrijding;729731;0;0;0;0
2019;V;VI;Justitie en Veiligheid;33;Veiligheid en criminaliteitsbestrijding;729731;0;0;0;0
2019;O;VI;Justitie en Veiligheid;34;Straffen en beschermen;97740;0;0;0;0
